Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Cu2.1Cd0.9SnSe4,300.0,129.5,20517.0,2.05,0.00034407521925,0.0503524711097561,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,350.0,132.0,21034.0,1.713,0.000366496416,0.07488251348511384,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,400.0,134.7,22184.0,1.45,0.00040250849255999994,0.11103682553379308,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,450.0,138.6,23908.0,1.224,0.00045927172368,0.1688498984117647,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,500.0,141.0,25517.0,1.008,0.000507303477,0.2516386294642857,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,550.0,143.8,24080.0,0.8346,0.0004979368352,0.3281395391325186,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,600.0,148.0,21900.0,0.72,0.0004796976,0.399748,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,650.0,151.3,20100.0,0.598,0.00046012296900000007,0.5001336619565219,10.1002/adma.200900409
Cu2.1Cd0.9SnSe4,700.0,156.7,18960.0,0.5,0.0004655607143999999,0.6517850001599998,10.1002/adma.200900409
Cu2CdSnSe4,300.0,235.7,2431.0,2.776,0.00013505296519,0.014595061079610953,10.1002/adma.200900409
Cu2CdSnSe4,350.0,238.0,2741.0,2.35,0.000155261204,0.023124009106382976,10.1002/adma.200900409
Cu2CdSnSe4,400.0,241.6,3138.0,2.024,0.00018316681727999998,0.036198975747035574,10.1002/adma.200900409
Cu2CdSnSe4,450.0,244.8,3328.0,1.74,0.00019943718912000002,0.05157858339310346,10.1002/adma.200900409
Cu2CdSnSe4,500.0,251.3,3466.0,1.52,0.00021888375754,0.07200123603289474,10.1002/adma.200900409
Cu2CdSnSe4,550.0,261.7,3465.0,1.37,0.00023730707384999998,0.09526926322445255,10.1002/adma.200900409
Cu2CdSnSe4,600.0,275.0,3450.0,1.25,0.00026090625,0.12523499999999999,10.1002/adma.200900409
Cu2CdSnSe4,650.0,285.7,3328.0,1.122,0.00027164630271999995,0.1573708527344028,10.1002/adma.200900409
Cu2CdSnSe4,700.0,297.4,3103.0,1.012,0.0002744502962799999,0.18983716145849794,10.1002/adma.200900409
In4Se2.32Cl0.03,323.0,-213.1,31000.0,1.2467,0.00140775991,0.3676,10.1002/adma.201004739
In4Se2.32Cl0.03,698.0,-311.0,10860.0,0.705,0.00105039006,1.0399606551489362,10.1002/adma.201004739
In4Se2.32Cl0.03,373.0,-228.0,27400.0,1.087,0.0014243616,0.493,10.1002/adma.201004739
In4Se2.32Cl0.03,423.0,-246.15,23400.0,0.993,0.001408,0.6,10.1002/adma.201004739
In4Se2.32Cl0.03,473.0,-256.6,19471.0,0.907,0.0012820399567600002,0.6685831307028446,10.1002/adma.201004739
In4Se2.32Cl0.03,523.0,-270.3,16390.0,0.82,0.00119,0.7637634678259758,10.1002/adma.201004739
In4Se2.32Cl0.03,598.0,-292.8,12460.0,0.743,0.0010682187264000002,0.8597507380716017,10.1002/adma.201004739
In4Se2.32Cl0.03,623.0,-296.7,12000.0,0.738,0.00105637068,0.8917600726829269,10.1002/adma.201004739
In4Se2.32Cl0.03,648.0,-301.7,11516.0,0.7327,0.00104821960124,0.9270455870117646,10.1002/adma.201004739
In4Se2.32Cl0.03,673.0,-306.1,11180.0,0.7247,0.0010475348078000002,0.972803816267973,10.1002/adma.201004739
In4Se2.67Cl0.03,323.0,-103.3,105263.0,0.88,0.0011232498940699999,0.4122837679370568,10.1002/adma.201004739
In4Se2.67Cl0.03,423.0,-137.08,71050.0,0.742,0.0013350953207200002,0.7611122920007549,10.1002/adma.201004739
In4Se2.67Cl0.03,473.0,-151.2,50000.0,0.683,0.001558,0.791615016105417,10.1002/adma.201004739
In4Se2.67Cl0.03,523.0,-164.8,40910.0,0.661,0.00117,0.8791118286039334,10.1002/adma.201004739
In4Se2.67Cl0.03,573.0,-179.2,33333.0,0.618,0.00108,0.996,10.1002/adma.201004739
In4Se2.67Cl0.03,598.0,-192.86,31890.0,0.6173,0.0011861478994440002,1.1490627634335204,10.1002/adma.201004739
In4Se2.67Cl0.03,623.0,-202.75,30451.0,0.612,0.0012517663856875,1.2742654547112948,10.1002/adma.201004739
In4Se2.67Cl0.03,648.0,-208.24,29137.0,0.6,0.0012634938843712,1.3645733951208963,10.1002/adma.201004739
In4Se2.67Cl0.03,698.0,-218.7,26300.0,0.575,0.0012579208469999997,1.533,10.1002/adma.201004739
In3.94Pb0.06Se3,330.0,-200.0,7300.0,1.52,0.000292,0.06339473684210527,10.1002/adma.201302038
In3.94Pb0.06Se3,405.0,-220.0,7800.0,1.345,0.00037752,0.11367702602230484,10.1002/adma.201302038
In3.94Pb0.06Se3,480.0,-256.0,8700.0,1.22,0.0005701632,0.2243265049180328,10.1002/adma.201302038
In3.94Pb0.06Se3,518.0,-256.0,8100.0,1.174,0.0005308416,0.23422142146507666,10.1002/adma.201302038
In3.95Pb0.05Se3,330.0,-207.0,5150.0,1.055,0.00022067235,0.06902547440758294,10.1002/adma.201302038
In3.95Pb0.05Se3,405.0,-230.0,7500.0,0.93,0.00039674999999999997,0.1727782258064516,10.1002/adma.201302038
In3.95Pb0.05Se3,480.0,-242.0,11200.0,0.86,0.0006559167999999999,0.3660930976744186,10.1002/adma.201302038
In3.95Pb0.05Se3,518.0,-259.0,10900.0,0.81,0.0007311829,0.46759597802469133,10.1002/adma.201302038
In3.96Pb0.04Se3,330.0,-192.0,7000.0,1.243,0.000258048,0.06850831858407079,10.1002/adma.201302038
In3.96Pb0.04Se3,405.0,-221.0,8700.0,1.04,0.0004249167,0.16547236875,10.1002/adma.201302038
In3.96Pb0.04Se3,480.0,-245.0,10000.0,0.91,0.00060025,0.3166153846153846,10.1002/adma.201302038
In3.96Pb0.04Se3,518.0,-272.0,9500.0,0.86,0.000702848,0.42334333023255816,10.1002/adma.201302038
In3.99Pb0.01Se3,330.0,-206.0,10000.0,1.12,0.00042436,0.12503464285714286,10.1002/adma.201302038
In3.99Pb0.01Se3,405.0,-221.0,10700.0,0.97,0.0005225987,0.2181984262886598,10.1002/adma.201302038
In3.99Pb0.01Se3,480.0,-242.0,12247.0,0.91,0.000717233308,0.37832086575824175,10.1002/adma.201302038
In3.99Pb0.01Se3,518.0,-252.0,11111.0,0.88,0.000705592944,0.41533766476363637,10.1002/adma.201302038
Cu2Se,410.0,85.0,55023.0,0.8589,0.000397541175,0.18976817062521828,10.1002/adma.201302660
Cu2Se,300.0,92.0,99586.0,0.88,0.0008428959039999999,0.2873508763636363,10.1002/adma.201302660
Cu2Se,425.0,118.0,51060.0,0.856,0.00071095944,0.35298803971962617,10.1002/adma.201302660
Cu2Se,350.0,101.48,87320.0,0.8,0.0008992379857280002,0.39341661875600004,10.1002/adma.201302660
Cu2Se,450.0,126.0,47255.0,0.856,0.00075022038,0.39439155490654204,10.1002/adma.201302660
Cu2Se,359.0,104.4,82534.0,0.73,0.00089956777824,0.4423901813536438,10.1002/adma.201302660
Cu2Se,365.0,107.4,76750.0,0.67,0.0008852928300000001,0.4822863924626866,10.1002/adma.201302660
Cu2Se,375.0,114.57,64785.0,0.54,0.0008503863672464999,0.5905460883656248,10.1002/adma.201302660
Cu2Se,385.0,127.4,52850.0,0.3835,0.0008577956660000001,0.861150798983051,10.1002/adma.201302660
Cu2Se,400.0,166.7,40986.0,0.2,0.0011389554455399997,2.277910891079999,10.1002/adma.201302660
Cu2Se0.92I0.08,300.0,144.7,15720.0,0.4739,0.0003291467747999999,0.20836470234226626,10.1002/adma.201302660
Cu2Se0.92I0.08,385.0,180.0,10760.0,0.5055,0.000348624,0.265519762611276,10.1002/adma.201302660
Cu2Se0.92I0.08,400.0,186.0,10472.0,0.518,0.000362289312,0.2797600864864864,10.1002/adma.201302660
Cu2Se0.92I0.08,410.0,190.0,10278.0,0.519,0.0003710358,0.29311113294797686,10.1002/adma.201302660
Cu2Se0.92I0.08,425.0,197.5,9940.0,0.522,0.000387722125,0.3156741439176245,10.1002/adma.201302660
Cu2Se0.92I0.08,375.0,175.0,10900.0,0.385,0.0003338,0.325,10.1002/adma.201302660
Cu2Se0.92I0.08,450.0,209.0,9353.0,0.518,0.000408548393,0.3549165576254826,10.1002/adma.201302660
Cu2Se0.92I0.08,365.0,154.8,10657.0,0.248,0.00025537411728000005,0.37585303551290333,10.1002/adma.201302660
Cu2Se0.92I0.08,350.0,175.0,11446.0,0.256,0.00035053374999999997,0.479245361328125,10.1002/adma.201302660
Cu2Se0.92I0.08,359.0,191.0,8986.0,0.14,0.000327818266,0.8406196963857142,10.1002/adma.201302660
Cu2Se0.96I0.04,300.0,84.7,64438.0,0.74,0.00046228401142,0.18741243706216218,10.1002/adma.201302660
Cu2Se0.96I0.04,385.0,94.0,40986.0,0.644,0.000362,0.216,10.1002/adma.201302660
Cu2Se0.96I0.04,400.0,112.0,41410.0,0.78767,0.00051944704,0.2637891705917453,10.1002/adma.201302660
Cu2Se0.96I0.04,410.0,115.56,40864.0,0.78767,0.0005457024981504001,0.28405045798578593,10.1002/adma.201302660
Cu2Se0.96I0.04,425.0,121.0,39380.0,0.79,0.00057656258,0.3101760715189873,10.1002/adma.201302660
Cu2Se0.96I0.04,450.0,129.0,36963.0,0.79,0.000615101283,0.35037414854430377,10.1002/adma.201302660
Cu2Se0.96I0.04,350.0,106.4,47628.0,0.5,0.0005391946828799999,0.377436278016,10.1002/adma.201302660
Cu2Se0.96I0.04,359.0,115.0,40033.0,0.41,0.000529436425,0.46357969896341467,10.1002/adma.201302660
Cu2Se0.96I0.04,365.0,120.0,34927.0,0.35,0.0005029488,0.5245037485714286,10.1002/adma.201302660
Cu2Se0.96I0.04,375.0,133.6,27140.0,0.245,0.00048442077439999996,0.7414603689795918,10.1002/adma.201302660
TmCuTe2,320.0,73.7,95941.0,1.5774,0.00052112177029,0.10571761537517435,10.1002/chem.201404453
TmCuTe2,363.0,83.3,86200.0,1.5,0.000598132318,0.144748020956,10.1002/chem.201404453
TmCuTe2,410.0,91.4,75267.0,1.3860149354903224,0.00062877750732,0.186,10.1002/chem.201404453
TmCuTe2,457.0,102.6,66864.0,1.3237226553599997,0.0007038612806399998,0.243,10.1002/chem.201404453
TmCuTe2,503.0,110.0,57326.0,1.182722826440678,0.0006936446,0.295,10.1002/chem.201404453
TmCuTe2,600.0,128.0,44182.0,1.1644148332439679,0.000723877888,0.373,10.1002/chem.201404453
TmCuTe2,550.0,123.0,48859.0,1.0626066284631468,0.000739187811,0.3826,10.1002/chem.201404453
TmCuTe2,818.0,179.7,19177.0,0.6939165826338903,0.0006192654099299999,0.73,10.1002/chem.201404453
